0,1,2,3,4,5,6,7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,DATE,2025-09-03 00:00:00,,,,,
,,,,,,,
,,,,,,,
,CORRECTIONS,,,,,,
,,1,2,,,,
,Rhodamine concentration in the solution injected [%],23.83,,,,,
,Temperature Correction Factor,0.026,,,,,
,Initial Water Temperature [°C],8,,,,,
,Mass of Solution Injected,15.54,,,,,
,,,,,,,
,MISURA,,,,,,
,,# Measurement,,1,,,2.0
,,# Bucket,,,,,
,,Point Description,,FP1 brunch,,,
,Effective Mass of Rhodamine Added,Ms,[g],3.7031819999999995,,,
,Background Fluorescence,Fluor,[ppb],0,,,
,Time-step for logging,dt,[s],1,,,
,Discharge,Q,[L/s],682.6684161855738,,,
,Conductivity Timeseries ,(past in each column the conductivity data from logger),,C_obs,C_adj,C_corr_temp,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.13,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.17,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.13,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.13,0,0,
,,,,-0.17,0,0,
,,,,-0.13,0,0,
,,,,-0.17,0,0,
,,,,-0.17,0,0,
,,,,-0.09,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.13,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.17,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
,,,,-0.22,0,0,
